Emissor;CNPJ;Número de emissão;Serie;Codigo;Setor;Agente Fiduciário;Líder;Banco Mandatário;Incentivada|Lei 12.431;Volume;Data de emissão;Vencimento/Repactuação;Referência|NTN-B;Remuneração;Amortização;Espécie;Tipo de Debênture;Índice de correção
AES Tiete E;4128563000110;9;3;TIET39;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco Itau BBA SA;Banco Bradesco SA;Sim;178910000;2019-03-15;2029-03-15;2028-08-15;Pagamento anual no dia 15-mar. Primeiro em 15-mar-2020 e última no vencimento;3 Parcelas: 33,33% em 15-mar-2027, 33,33% em 15-mar-2028 e 33,34% no vencimento;Quirografária;IPCA Spread;IPCA + 4,7133%
Aguas Guariroba SA;4089570000150;3;1;AGGU13;Água, esgoto e outros sistemas;Pentagono SA Dtvm;Banco BTG Pactual SA;Itau Unibanco SA;Não;400000000;2017-09-15;2022-09-15;-;Pagamento semestral, nos dias 15-mar e 15-set. primeiro em 15-mar-2018 e última no vencimento;3 parcelas: 33,33% em 15-set-2020, 33,33% em 15-set-2021 e 33,34% no vencimento;Quirografária;DI Spread;DI + 1,35%
Aguas Guariroba SA;4089570000150;4;1;GRRB14;Água, esgoto e outros sistemas;Pentagono SA Dtvm;Banco Santander Brasil SA;Oliveira Trust DTVM SA;Não;303900000;2019-07-15;2026-07-15;-;Pagamento Semestral. nos dias 15-jan e 15-jul. Primeiro em 15-jan-2020;2 Parcelas: 50% em 15-jul-2025 e 50% em 15-jul-2026;Quirografária;DI Spread;DI + 0,8%
Aguas Guariroba SA;4089570000150;4;2;GRRB24;Água, esgoto e outros sistemas;Pentagono SA Dtvm;Banco Santander Brasil SA;Oliveira Trust DTVM SA;Não;276100000;2019-07-15;2029-07-15;2028-08-15;Pagamento anual, nos dias 15-Jul. Primeiro em 15-jul-2020 e última no vencimento;Pagamento anual, nos dias 15-Jul. Primeiro em 15-jul-2020 e última no vencimento;Quirografária;IPCA Spread;IPCA + 4,4%
Algar Telecom S/A;71208516000174;5;Uni;ALGA15;Telecomunicações;Pentagono SA Dtvm;Banco J Safra SA;Itau Unibanco SA;Sim;210000000;2016-05-15;2022-05-15;2021-05-15;Pagamento semestral. nos dias 15-mai e 15-nov. Primeira em 15-Nov-2016;2 parcelas iguais em 15-mai-2021 e no vencimento;Quirografária;IPCA Spread;IPCA + 7,7325%
Algar Telecom S/A;71208516000174;6;1;ALGA16;Telecomunicações;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;150000000;2017-03-15;2022-03-15;-;Pagamento semestral, nos dias 15-Set e 15-Mar. Primeiro em 15-Set-2017 e último no vencimento.;2 parcelas em 15-03-2021 e no vencimento.;Quirografária;DI Spread;DI + 1,4%
Algar Telecom S/A;71208516000174;6;2;ALGA26;Telecomunicações;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Sim;269291000;2017-03-15;2024-03-15;2023-05-15;Pagamento anual, nos dias 15-Mar. Primeiro em 15-Mar-2018 e último no vencimento.;2 parcelas em 15-03-2023 e no vencimento.;Quirografária;IPCA Spread;IPCA + 6,8734%
Algar Telecom S/A;71208516000174;7;1;ALGA17;Telecomunicações;Pentagono SA Dtvm;Banco BTG Pactual SA;Banco Bradesco SA;Não;523525000;2018-03-15;2023-03-15;-;Pagamento semestral, nos dias 15-set e 15-mar. Primeiro no dia 15-set-2018 e última no vencimento;2 parcelas iguais nos dias 15-mar. Primeiro em 15-mar-2022 e última no vencimento;Quirografária;DI Spread;DI + 0,89%
Algar Telecom S/A;71208516000174;7;2;ALGA27;Telecomunicações;Pentagono SA Dtvm;Banco BTG Pactual SA;Banco Bradesco SA;Sim;76475000;2018-03-15;2025-03-15;2024-08-15;Pagamento semestral. nos dias 15-set e 15-mar. Primeiro em 15-set-2018 e última no vencimento;2 parcelas iguais em 15-mar-2024 e no vencimento;Quirografária;IPCA Spread;IPCA + 5,5395%
Algar Telecom S/A;71208516000174;8;1;ALGA18;Telecomunicações;Pentagono SA Dtvm;XP Investimentos CCTVM SA;Banco Bradesco SA;Não;100000000;2019-02-15;2024-02-15;-;Pagamento semestral. nos dias 15-ago e 15-fev. Primeiro no dia 15-ago-2019;Integral na data do vencimento;Quirografária;DI Spread;DI + 0,60%
Algar Telecom S/A;71208516000174;8;2;ALGA28;Telecomunicações;Pentagono SA Dtvm;XP Investimentos CCTVM SA;Banco Bradesco SA;Não;250000000;2019-02-15;2026-02-15;-;Pagamento semestral. nos dias 15-ago e 15-fev. Primeiro em 15-ago-2019 e última no vencimento;2 parcelas iguais em 15-fev-2025 e no vencimento;Quirografária;DI Spread;DI + 0,90%
Algar Telecom S/A;71208516000174;9;uni;ALGA19;Telecomunicações;Pentagono SA Dtvm;BB Banco de Investimento SA;Banco Bradesco SA;Não;350000000;2019-10-10;2024-10-10;-;Pagamento semestral, nos dias 10-Abr e 10-Out. Primeiro em 10-Abr-2020;Integral na data do vencimento;Quirografária;DI Spread;DI + 0,70%
Aliança Geração de Energia SA;12009135000105;2;uni;ALIG12;Empresa de eletricidade, gás e água;Simplific Pavarini DTVM Ltda;Banco Abc Brasil SA;Banco Bradesco SA;Sim;77000000;2019-06-15;2029-12-15;2026-08-15;Pagamento semestral, nos dias 15-Jun e 15-Dez. Primeiro em 15-Dez-2019 e último no vencimento;Pagamento semestral, nos dias 15-Jun e 15-Dez. Primeiro em 15-Jun-2020 e último no vencimento;Garantia Real;IPCA Spread;IPCA + 3,65%
Alianscsonae;5878397000132;2;1;SSBR12;Locadora de imóveis;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;125000000;2017-07-15;2022-07-15;-;Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2018.;2 parcelas iguas em 15-Jul-2021 e no vencimento.;Quirografária;DI Spread;DI + 0,75%
Alianscsonae;5878397000132;2;2;SSBR22;Locadora de imóveis;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;125000000;2017-07-15;2024-07-15;2024-08-15;Pagamento anual, nos dias 15-Jul. Primeiro em 15-Jul-2018.;2 parcelas iguas em 15-Jul-2023 e no vencimento.;Quirografária;IPCA Spread;IPCA + 6,2354%
Alianscsonae;5878397000132;3;1;SSBR13;Locadora de imóveis;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;90000000;2019-01-15;2024-01-15;-;Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jul-2019 e último no vencimento.;2 parcelas iguais em 15-Jan-2023 e no vencimento.;Quirografária;DI Spread;DI + 0,80%
Alianscsonae;5878397000132;3;2;SSBR23;Locadora de imóveis;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;110000000;2019-01-15;2027-01-15;-;Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jul-2019 e último no vencimento.;3 parcelas: 33,3333% em 15-Jan-2025, 33,3333% em 15-Jan-2026 e 33,3334% no vencimento.;Quirografária;DI Spread;DI + 1,05%
Alianscsonae;5878397000132;10;uni;ALSCA0;Locadora de imóveis;Pentagono SA Dtvm;Banco Santander Brasil SA;Banco Bradesco SA;Não;244830000;2018-09-15;2023-09-15;-;Pagamento semestral, nos dias 15-Mar e 15-Set. Primeiro em 15-Mar-2019 e último no vencimento.;2 parcelas iguais em 15-Set-2022 e no vencimento.;Quirografária;DI Percentual;110% do DI
Alliar;42771949000135;1;1;AALR11;Laboratório de exames médicos;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;168500000;2017-09-01;2020-09-01;-;Pagamento semestral, nos dias 01-mar e 01-set. Primeiro em 01-mar-2018 e última no vencimento;Integral na data do vencimento.;Quirografária;DI Percentual;116% do DI
Alliar;42771949000135;1;2;AALR21;Laboratório de exames médicos;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;101500000;2017-09-01;2022-09-01;-;Pagamento semestral. nos dias 01-mar e 01-Set. Primeiro em 01-mar-2018 e última no vencimento;2 parcelas iguais em 01-set-2021 e no vencimento;Quirografária;DI Percentual;118% do DI
Alliar;42771949000135;2;1;AALR12;Laboratório de exames médicos;Pentagono SA Dtvm;XP Investimentos CCTVM SA;Banco Bradesco SA;Não;157430000;2019-07-15;2025-07-15;-;Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2020 e último no vencimento.;4 parcelas iguais em 15-Jul-2022, 15-Jul-2023, 15-Jul-2024  e no vencimento.;Quirografária;DI Spread;DI + 1,10%
Alliar;42771949000135;2;2;AALR22;Laboratório de exames médicos;Pentagono SA Dtvm;XP Investimentos CCTVM SA;Banco Bradesco SA;Não;100030000;2019-07-15;2025-07-15;-;Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2020 e último no vencimento.;4 parcelas iguais em 15-Jul-2022, 15-Jul-2023, 15-Jul-2024  e no vencimento.;Quirografária;DI Spread;DI + 1,10%
Alliar;42771949000135;2;3;AALR32;Laboratório de exames médicos;Pentagono SA Dtvm;XP Investimentos CCTVM SA;Banco Bradesco SA;Não;92540000;2019-07-15;2025-07-15;-;Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2020 e último no vencimento;Pagamento Anual. nos dias 15-Jul. Primeiro em 15-Jul-2022;Quirografária;DI Spread;DI + 1,10%
Alupar;8364948000138;6;uni;APAR16;Geração, transmissão e distribuição de energia elétrica;Planner Trustee DTVM Ltda;Banco BTG Pactual SA;Itau Unibanco SA;Sim;250000000;2015-04-15;2021-04-15;2020-08-15;Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Out-2015 e último no vencimento.;2 parcelas em 15-Abr-2020 e no vencimento.;Quirografária;IPCA Spread;IPCA + 7,3273%
Alupar;8364948000138;7;uni;ALUP17;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Abc Brasil SA;Itau Unibanco SA;Não;64850000;2019-10-15;2025-10-15;-;Pagamento semestral , nos dias 15-abr e 15-out. Primeiro em 15-abr-2020;Pagamento anual, no dia 15-Out. Primeiro em 15-Out-2024 e última no vencimento;Quirografária;DI Spread;DI + 1,40%
Ampla Energ;33050071000158;10;uni;AMPLA0;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco Itau BBA SA;Banco Bradesco SA;Não;1000000000;2019-03-15;2024-03-15;-;Pagamento semestral, nos dias 15-Mar e 15-Set. Primeiro em 15-Set-2019 e último no vencimento.;2 parcelas iguais em 15-Mar-2023 e no vencimento.;Quirografária;DI Percentual;108% do DI
Arteris;2919555000167;5;1;ARTR15;Atividades auxiliares ao transporte rodoviário;Vortx DTVM Ltda;Banco BTG Pactual SA;Banco Bradesco SA;Não;1450971000;2017-10-15;2022-10-15;-;Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Abr-2018 e última no vencimento;2 parcelas iguais em 15-Out-2021 e no vencimento;Quirografária;DI Spread;DI + 1,6%
Arteris;2919555000167;5;3;ARTR35;Atividades auxiliares ao transporte rodoviário;Vortx DTVM Ltda;Banco BTG Pactual SA;Banco Bradesco SA;Sim;161540000;2017-10-15;2024-10-15;2024-08-15;Pagamento anual, nos dias 15-out. Primeiro em 15-out-2018 e última no vencimento;2 parcelas: 50% em 15-out-2023 e 50% no vencimento;Quirografária;IPCA Spread;IPCA + 5,0935%
Atmasa;4032433000180;1;1;CTAP11;Serviços de apoio a empresas;Oliveira Trust Dtvm SA;Itau Unibanco SA;Itau Cv SA;Não;212640000;2011-12-15;2030-08-15;-;Pagamento semestral de 15-Jun-2012 até 15-Jun-2015. Pagamento trimestral de 15-Mar-2017 até vencimento.;16 parcelas trimestrais. Primeira em 15-Mar-2016 e última no vencimento.;Quirografária;DI Spread;DI + 1,25%
Autoban - Conc do Sist Anhanguera Bandeirantes S/A;2451848000162;8;uni;ANHB18;Atividades auxiliares ao transporte rodoviário;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Sim;716514000;2017-07-15;2022-07-15;2022-08-15;Pagamento Semestral. nos dias 15-Jul e 15-Jan. Primeiro em 15-Jul-2018 e última no vencimento;Integral na data do Vencimento;Quirografária;IPCA Spread;IPCA + 5,4705%
Autoban - Conc do Sist Anhanguera Bandeirantes S/A;2451848000162;10;uni;ANHB10;Atividades auxiliares ao transporte rodoviário;Pentagono SA Dtvm;Banco Bradesco Bbi SA;Banco Bradesco SA;Não;770000000;2019-10-21;2026-10-21;-;Pagamento semestral, nos dias 21-Abr e 21-Out. Primeiro em 21-Abr-2020 e último no vencimento.;14 parcelas semestrais, nos dias 21-Abr e 21-Out. Primeira em 21-Abr-2020 e última no vencimento.;Quirografária;DI Spread;DI + 1,20%
Bandeirante Energ;2302100000106;7;uni;EBEN17;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Citibank SA;Não;150000000;2017-04-07;2022-04-07;-;Pagamento semestral, nos dias 07-Out e 07-Abr. Primeiro em 07-Out-2017 e última no vencimento;Pagamento semestral, nos dias 07-Out e 07-Abr. Primeiro em 07-Abr-2020 e última no vencimento;Quirografária;DI Percentual;108,75% do DI
Bandeirante Energ;2302100000106;10;uni;EBENA0;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco J Safra SA;Banco Citibank SA;Não;200000000;2019-03-30;2024-03-30;-;Pagamento Semestral. nos dias 30-mar e 30-set. Primeiro em 30-set-2019;Integral na data do vencimento;Quirografária;DI Percentual;106,6% do DI
Belo Monte Trans de Energia Spe S/A;20223016000170;2;uni;BLMN12;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco BTG Pactual SA;Banco Bradesco SA;Sim;580000000;2017-11-15;2031-12-15;2026-08-15;Pagamento semestral. nos dias 15-dez e 15-jun. Primeoro em 15-jun-2018 e última no venciemtno;Pagamento semestral. nos dias 15-dez e 15-jun. Primeiro em 15-dez-2018 e última no vencimento;Garantia Real;IPCA Spread;IPCA + 7,1358%
Bk Brasil;13574594000196;8;uni;BKBR18;Restaurantes e outros lugares para comer;Pentagono SA Dtvm;XP Investimentos CCTVM SA;Banco Bradesco SA;Não;400000000;2019-10-15;2024-10-15;-;Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Abr-2020 e último no vencimento.;Integral na data do Vencimento;Quirografária;DI Spread;DI + 1,35%
BR Malls Par;6977745000191;7;1;BRML17;Locadora de imóveis;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Não;600000000;2019-03-11;2025-03-11;-;Pagamento semestral. nos dias 11-set e 11-mar. Primeiro em 11-set-2019 e última no vencimento;Integral na data do Vencimento;Quirografária;DI Percentual;107,5% do DI
BRF SA;1838723000127;1;1;BRFS11;Abatedouros;Pentagono SA Dtvm;BB Banco de Investimento SA;Itau Unibanco SA;Não;70000000;2019-04-30;2022-04-30;-;Pagamento Semestral. nos dias 30-out e 30-abr. Primeiro em 30-out-2019;Integral na data do vencimento;Quirografária;DI Spread;DI + 0,8%
BRF SA;1838723000127;1;4;BRFS41;Abatedouros;Pentagono SA Dtvm;BB Banco de Investimento SA;Itau Unibanco SA;Não;268268000;2019-04-30;2026-04-30;-;Pagamento Semestral. nos dias 30-out e 30-abr. Primeiro em 30-out-2019;2 Parcelas: 50% em 10-abr-2025 e 50% em 10-abr-2026;Quirografária;DI Spread;DI + 1,45
Cachoeira Paulista Trans de Energia SA;5336882000184;1;uni;CPTE11;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco Santander Brasil SA;Banco Bradesco SA;Não;220000000;2011-11-11;2023-11-11;2022-08-15;Pagamento trimestral, nos dias 11-Fev, 11-Mai, 11-Ago e 11-Nov. Primeiro em 11-Fev-2012 e último no vencimento.;Parcela trimestral, nos dias 11-Fev, 11-Mai, 11-Ago e 11-Nov. Primeiro em 11-Fev-2012 e último no vencimento.;Quirografária;IPCA Spread;IPCA + 7,8%
CCR SA;2846056000197;11;1;CCRDA1;Atividades auxiliares ao transporte rodoviário;Vortx DTVM Ltda;Banco Bradesco Bbi SA;Banco Bradesco SA;Não;470030000;2017-11-15;2020-11-15;-;Pagamento semestral, nos dias 15-mai e 15-nov. Primeiro em 15-mai-2018 e última no vencimento;Integral na data do vencimento;Quirografária;DI Spread;DI + 0,60%
CCR SA;2846056000197;11;2;CCRDB1;Atividades auxiliares ao transporte rodoviário;Vortx DTVM Ltda;Banco Bradesco Bbi SA;Banco Bradesco SA;Não;663234000;2017-11-15;2022-11-15;-;Pagamento semestral, nos dias 15-mai e 15-nov. Primeiro em 15-mai-2018 e última no vencimento;2 parcelas: 50% em 15-nov-2021 e 50% no vencimento;Quirografária;DI Spread;DI + 0,95%
CCR SA;2846056000197;11;3;CCRDC1;Atividades auxiliares ao transporte rodoviário;Vortx DTVM Ltda;Banco Bradesco Bbi SA;Banco Bradesco SA;Não;389940000;2017-11-15;2024-11-15;-;Pagamento semestral, nos dias 15-mai e 15-nov. Primeiro em 15-mai-2018 e última no vencimento;2 parcelas: 50% em 15-nov-2023 e 50% no vencimento;Quirografária;DI Spread;DI + 1,50%
CCR SA;2846056000197;11;4;CCRDD1;Atividades auxiliares ao transporte rodoviário;Vortx DTVM Ltda;Banco Bradesco Bbi SA;Banco Bradesco SA;Não;176796000;2017-11-15;2024-11-15;2024-08-15;Pagamento semestral, nos dias 15-mai e 15-nov. primeiro em 15-mai-2018 e última no vencimento;2 parcelas: 50% em 15-nov-2023 e 50% no vencimento;Quirografária;IPCA Spread;IPCA + 6%
CCR SA;2846056000197;13;uni;CCROA3;Atividades auxiliares ao transporte rodoviário;Pentagono SA Dtvm;Banco BTG Pactual SA;Banco Bradesco SA;Não;700000000;2020-05-28;2022-05-28;-;Pagamento Semestral, nos dias 28-nov e 28-mai. Primeiro em 28-nov-2020;Integral na data do vencimento;Quirografária;DI Spread;DI + 3,20%
Ceb Distribuição S/A;7522669000192;3;uni;CEBD13;Serviço de entregas e mensagens;Oliveira Trust Dtvm SA;Banco BBM S/A;Banco do Brasil SA;Não;200000000;2018-09-20;2023-09-20;-;Pagamento mensal no dia 20-out. Primeiro em 20-out-2018 e última no vencimento;Pagamento mensal no dia 20-out. Primeiro em 20-out-2020 e última no vencimento;Garantia Real;DI Spread;DI + 4,00%
Celeo Redes Transmissão de Energia S/A;31001230000107;1;uni;CLOR11;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco BTG Pactual SA;Banco do Brasil SA;Não;565000000;2018-11-15;2023-11-15;-;Pagamento semestral, nos dias 15-mai e 15-nov. Primeiro em 15-mai-2019 e última no vencimento;Pagamento semestral, nos dias 15-mai e 15-nov. Primeiro em 15-mai-2019 e última no vencimento;Garantia Real;DI Spread;DI + 0,75
Celesc Distribuição S/A;8336783000190;3;uni;CLCD13;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Santander Brasil SA;Banco Bradesco SA;Não;250000000;2018-07-13;2023-07-13;-;Pagamento trimestral, nos dias 13-Jan, 13-Abr, 13-Jul, 13-out. Primeiro em 13-Jan-2018;Pagamento trimestral, nos dias 13-Jan, 13-Abr, 13-Jul, 13-out. Primeiro em 13-Jan-2020;Garantia Real;DI Spread;DI + 1,9%
Celesc Geração SA;8336804000178;2;uni;CLGR12;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;BB Banco de Investimento SA;Oliveira Trust DTVM SA;Não;150000000;2018-06-01;2023-06-01;-;Pagamento Trimestral. Nos dias 01-jun, 01-set, 01-des, 01-mar. Primeiro em 01-set-2018;Pagamento Trimestral. Nos dias 01-jun, 01-set, 01-des, 01-mar. Primeiro em 01-jun-2019;Garantia Real;DI Spread;DI + 2,50%
Celpe;10835932000108;7;2;CEPE27;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Santander Brasil SA;Banco Bradesco SA;Sim;90000000;2017-01-15;2022-01-15;2022-08-15;Pagamento anual. Primeiro em 15-Jan-2018 e última no vencimento;Integral na data do Vencimento;Quirografária;IPCA Spread;IPCA + 6,1827%
Celpe;10835932000108;8;Uni;CEPE18;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco Bradesco Bbi SA;Banco Bradesco SA;Não;500000000;2018-02-08;2023-02-08;-;Pagamento semestral. nos dias 08-Ago e 08-Fev. Primeiro em 08-Ago-2020;Pagamento semestral. nos dias 08-Ago e 08-Fev. Primeiro em 08-Ago-2020;Quirografária;DI Percentual;117,30% do DI
Celpe;10835932000108;9;1;CEPE19;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco Itau BBA SA;Banco Bradesco SA;Sim;600000000;2018-07-15;2025-07-15;2024-08-15;Pagamento Semestral. nos dias 15-jul e 15-jan. Primeiro em 15-jan-2019;3 Parcelas: 33,33% em 15-jul-2023, 33,33% em 15-jul-2024 e 33,34% no vencimento;Quirografária;IPCA Spread;IPCA + 6,0352%
Celpe;10835932000108;10;1;CEPE10;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;BB Banco de Investimento SA;Banco Bradesco SA;Não;300000000;2019-04-15;2024-04-15;-;Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Out-2019 e último no vencimento.;Integral na data do vencimento;Quirografária;DI Percentual;109,50% do DI
Celpe;10835932000108;10;2;CEPE20;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;BB Banco de Investimento SA;Banco Bradesco SA;Não;200000000;2019-04-15;2026-04-15;-;Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Out-2019 e último no vencimento.;2 parcelas iguais em 15-Abr-2025 e no vencimento;Quirografária;DI Percentual;111% do DI
Cemig Distribuição SA;6981180000116;3;2;CMDT23;Geração, transmissão e distribuição de energia elétrica;Gdc Partners Serv Fiduciarios Dtvm Ltda;BB Banco de Investimento SA;Banco Bradesco SA;Não;1095508000;2013-02-15;2021-02-15;2020-08-15;Pagamento anual, nos dias 15-Fev. Primeiro em 15-Fev-2014 e último no vencimento.;3 parcelas : 33% em 15-Fev-2019, 33% em  15-Fev-2020 e 34% em 15-Fev-2021.;Quirografária;IPCA Spread;IPCA + 4,7%
Cemig Distribuição SA;6981180000116;3;3;CMDT33;Geração, transmissão e distribuição de energia elétrica;Gdc Partners Serv Fiduciarios Dtvm Ltda;BB Banco de Investimento SA;Banco Bradesco SA;Não;653675000;2013-02-15;2025-02-15;2023-05-15;Pagamento anual, nos dias 15-Fev. Primeiro em 15-Fev-2014 e último no vencimento.;4 parcelas iguais em 15-Fev-2022, 15-Fev-2023, 15-Fev-2024  e 15-Fev-2025.;Quirografária;IPCA Spread;IPCA + 5,1%
Cemig Distribuição SA;6981180000116;7;1;CMGD17;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;BB Banco de Investimento SA;Banco Bradesco SA;Não;2160000000;2019-06-15;2024-06-15;-;Pagamento mensal. Primeiro em 15-Jul-2020;Pagamento mensal. Primeiro em 15-ago-2019;Quirografária;DI Spread;DI + 0,4540%
